,year,date_conducted,date_published,pollster,geography,mode,sample_size,population_surveyed,sponsor,cc_poll_share,dgm_poll_share,pdal_poll_share,ssp_poll_share,undecided_poll_share
0,1984,1984-04-03,1984-04-04,Dataland Daily,National,Online,200,Adults,,0.125,0.19,0.415,0.065,0.205
1,1984,1984-04-05,1984-04-06,No Province Left Behind,Infinitron Peninsula,IVR,500,RV,,0.418,0.262,0.2,0.0,0.12
2,1984,1984-04-04,1984-04-06,Dataland Daily,National,Online,200,Adults,,0.18,0.24,0.34,0.07,0.17
3,1984,1984-04-05,1984-04-06,Dataland Daily,National,Online,200,Adults,,0.15,0.255,0.285,0.08,0.23
4,1984,1984-04-05,1984-04-07,Progressive Polling,Cortexia,Live caller,1000,Adults,,0.121,0.155,0.216,0.383,0.125
5,1984,1984-04-06,1984-04-07,Dataland Daily,National,Online,200,Adults,,0.21,0.185,0.32,0.085,0.2
6,1984,1984-04-06,1984-04-08,Cobolite Coalition Calling,Amperville,IVR,2000,RV,CC,0.063,0.105,0.642,0.0,0.19
7,1984,1984-04-06,1984-04-08,Big Dataland Surveys,Synapse Territories,Online,10000,RV,,0.137,0.158,0.216,0.299,0.189
8,1984,1984-04-07,1984-04-09,Dataland Daily,National,Online,200,Adults,,0.19,0.26,0.245,0.07,0.235
9,1984,1984-04-09,1984-04-10,Cobolite Coalition Calling,Circuit Confederation,IVR,2000,RV,CC,0.228,0.292,0.308,0.0,0.172
10,1984,1984-04-08,1984-04-10,Dataland Daily,National,Online,200,Adults,,0.15,0.255,0.3,0.075,0.22
11,1984,1984-04-09,1984-04-10,Dataland Daily,National,Online,200,Adults,,0.18,0.205,0.305,0.07,0.24
12,1984,1984-04-10,1984-04-12,Dataland Daily,National,Online,200,Adults,,0.14,0.18,0.375,0.055,0.25
13,1984,1984-04-11,1984-04-13,Dataland Daily,National,Online,200,Adults,,0.165,0.28,0.29,0.065,0.2
14,1984,1984-04-12,1984-04-13,Big Dataland Surveys,National,Online,10000,RV,,0.199,0.204,0.312,0.079,0.206
15,1984,1984-04-12,1984-04-14,Dataland Daily,National,Online,200,Adults,,0.16,0.195,0.345,0.12,0.18
