,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-06-14,0.2647165517855608,0.26051559178254263,0.3548899877356837,0.08180090206139974,0.0655,0.2015,0.733,0.0
2024-06-13,0.2646920941263768,0.2588645050219793,0.35698607709584623,0.08175816603009756,0.06525,0.175,0.75975,0.0
2024-06-12,0.26131227692150255,0.2626932321521587,0.3564012717172325,0.08215184192517853,0.04975,0.21825,0.732,0.0
2024-06-11,0.2659833894250937,0.25967232601650075,0.35491276413774586,0.08231413861732245,0.06975,0.20225,0.728,0.0
2024-06-10,0.26490031589773916,0.25902996240786547,0.35743998307733155,0.08197420870225708,0.06075,0.173,0.76625,0.0
2024-06-09,0.2681111706873331,0.25589447641113444,0.3575997594186548,0.08208021074085216,0.0735,0.149,0.7775,0.0
2024-06-08,0.2707791925712745,0.2546600023616275,0.3563560741990476,0.08222308158069903,0.08925,0.1455,0.76525,0.0
2024-06-07,0.26897596251897254,0.25405253704980113,0.35943827061613126,0.08198585483696182,0.07325,0.12125,0.8055,0.0
2024-06-06,0.268780423050473,0.25560721027189465,0.3586485114051949,0.08182927574591245,0.0695,0.12725,0.80325,0.0
2024-06-05,0.271567495038641,0.25203479051549466,0.36049915789034437,0.08127813395617513,0.07725,0.08825,0.8345,0.0
2024-06-04,0.26335370668133096,0.25591804035747295,0.3658073322654065,0.08079499221918643,0.044,0.0835,0.8725,0.0
2024-06-03,0.2604223450766208,0.2571359770324952,0.3677177332936068,0.08093431342162993,0.036,0.088,0.876,0.0
2024-06-02,0.2584120955341294,0.26204887479817124,0.3655410813599915,0.08065112789085395,0.03075,0.12,0.84925,0.0
2024-06-01,0.2572839724884201,0.2607351089162328,0.36854720905599875,0.08049720163900258,0.027,0.09825,0.87475,0.0
2024-05-31,0.25998279168361943,0.2603256941698225,0.36709563951947816,0.08012303395275243,0.03075,0.0935,0.87575,0.0
2024-05-30,0.27023876341500164,0.2562903771518852,0.361517607101998,0.07990529643831529,0.05475,0.0745,0.87075,0.0
2024-05-29,0.26822457669946426,0.2574447556776197,0.3626408051093651,0.07999389317568295,0.049,0.07425,0.87675,0.0
2024-05-28,0.2759534306930926,0.2492584002017477,0.363155876411038,0.08025034092696509,0.07675,0.05,0.87325,0.0
2024-05-27,0.2819829247346889,0.24492961502036764,0.36167550152710587,0.08037642090500843,0.1165,0.0435,0.84,0.0
2024-05-26,0.28426494465362095,0.24345558090316752,0.36126709095906034,0.0803578636616558,0.137,0.039,0.824,0.0
2024-05-25,0.28771036734133126,0.24407752398084165,0.3576814018047575,0.08027292836571151,0.18725,0.043,0.76975,0.0
2024-05-24,0.2850007925710137,0.24641229294167083,0.35859180351006914,0.0801441969878836,0.143,0.044,0.813,0.0
2024-05-23,0.27655342903244173,0.2502773751027756,0.3635456063162152,0.0801500456412346,0.06825,0.04575,0.886,0.0
2024-05-22,0.27581726310261295,0.2518172231812127,0.3632710919663532,0.08002709998423428,0.06325,0.0465,0.89025,0.0
2024-05-21,0.27934699721579365,0.252564578768543,0.35979679578022306,0.07967891225618468,0.086,0.04775,0.86625,0.0
2024-05-20,0.2763794631463863,0.25897387437646535,0.35676396400306415,0.07965493857780177,0.06925,0.0685,0.86225,0.0
2024-05-19,0.2704252123106861,0.2587180471872414,0.36386226895337925,0.07923487737836299,0.04,0.05175,0.90825,0.0
2024-05-18,0.26545230007090015,0.25911278335311033,0.3687373469997095,0.0793040992797158,0.02475,0.0495,0.92575,0.0
2024-05-17,0.2659043217379755,0.255955558054403,0.3717816251332374,0.07933929023590053,0.0255,0.03725,0.93725,0.0
2024-05-16,0.2714533043155451,0.2513745376926969,0.37154516178668456,0.0790482277082607,0.03525,0.02625,0.9385,0.0
2024-05-15,0.2760025209989923,0.24990385913452595,0.3693298885212563,0.0786463176003052,0.04475,0.02325,0.932,0.0
2024-05-14,0.27442205280415366,0.2511550491546517,0.3701360827634873,0.0785668623208037,0.039,0.023,0.938,0.0
2024-05-13,0.2756731895237096,0.24874406518522374,0.37230459564925333,0.07804105942528537,0.0385,0.01725,0.94425,0.0
2024-05-12,0.2821348969502409,0.24254842790153927,0.3724106028994233,0.07804947295699159,0.0545,0.01,0.9355,0.0
2024-05-11,0.28952178972679327,0.24241401690179043,0.36590203451323783,0.0777447306915144,0.1105,0.01,0.8795,0.0
2024-05-10,0.2931044188905326,0.24049728636187487,0.36487196720215914,0.07753067683200371,0.15025,0.0085,0.84125,0.0
2024-05-09,0.2942272865562935,0.23908414443368184,0.3658646691661212,0.07725976848248209,0.15125,0.007,0.84175,0.0
2024-05-08,0.291209676618787,0.23522202730084393,0.3731442098627933,0.07724569159210495,0.0835,0.00475,0.91175,0.0
2024-05-07,0.28503379223191005,0.24012459408920908,0.37448366056109095,0.07751686058756409,0.052,0.006,0.942,0.0
2024-05-06,0.28457990718389276,0.2418564511927438,0.37367999314011713,0.0774411648824169,0.05025,0.00625,0.9435,0.0
2024-05-05,0.2833842435502854,0.24758462957788954,0.36908308499912296,0.07782752872086471,0.05375,0.0085,0.93775,0.0
2024-05-04,0.2772118174511772,0.24844914860742415,0.37427947962997704,0.07825702502554469,0.0285,0.01075,0.96075,0.0
2024-05-03,0.26751337164864275,0.2505332269763867,0.38261516305920684,0.07797219877165153,0.01,0.00975,0.98025,0.0
2024-05-02,0.2662485881389076,0.2516880679113147,0.38215133938044904,0.07880483366355971,0.00925,0.012,0.97875,0.0
2024-05-01,0.26443034059557313,0.25149660814258595,0.3847863755494263,0.07860464076837625,0.00725,0.0095,0.98325,0.0
2024-04-30,0.26283674530128825,0.24871313815811533,0.3892529681184664,0.07886912211386089,0.0065,0.00625,0.98725,0.0
