,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-17,0.2804243765899676,0.25209527735641524,0.34885424218454725,0.08218781553004541,0.18675,0.1685,0.64475,0.0
2024-04-16,0.2891768101816895,0.2532326969971529,0.3411750774556021,0.08187534083094751,0.324,0.18725,0.48875,0.0
2024-04-15,0.28639655092490146,0.2568805835963985,0.34257742439917654,0.08152423643266184,0.24825,0.19775,0.554,0.0
2024-04-14,0.29429928805602834,0.2497951608999259,0.34415742048598813,0.0810779463719443,0.39525,0.1015,0.50325,0.0
2024-04-13,0.3010679530485236,0.25085802729567297,0.3390717483869538,0.08035114076382031,0.55525,0.09025,0.3545,0.0
2024-04-12,0.3083867698611776,0.24585650953113322,0.33924093265818006,0.07984044591104938,0.732,0.04225,0.22575,0.0
2024-04-11,0.3075505905168371,0.24772514192238904,0.341386308964254,0.07875188679625439,0.70875,0.0275,0.26375,0.0
2024-04-10,0.3017418701859376,0.2506166958353836,0.34700873114710135,0.07805788326388172,0.50675,0.022,0.47125,0.0
2024-04-09,0.2933450662709915,0.2527609144897798,0.3561560168992106,0.07720081893545544,0.18625,0.013,0.80075,0.0
2024-04-08,0.2994999588386665,0.24966377544146273,0.3556018151057189,0.07668305563302862,0.30575,0.00825,0.686,0.0
2024-04-07,0.30007519829289264,0.25130138502151306,0.3557343415389936,0.07631122052830268,0.295,0.006,0.699,0.0
2024-04-06,0.2930702813717706,0.24683196222567483,0.36948214960146836,0.07601370244049253,0.04825,0.004,0.94775,0.0
2024-04-05,0.2877702245862792,0.2567141820690733,0.3671708229027557,0.07573054924681907,0.019,0.0035,0.9775,0.0
2024-04-04,0.30230418531055875,0.2388361334079651,0.3729792558005744,0.07528109112773004,0.06375,0.00025,0.936,0.0
2024-04-03,0.3041735548723942,0.23840153570626535,0.37402832904207123,0.07482159028666582,0.047,0.0,0.953,0.0
