,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-05-10,0.24289179121013912,0.2893695636070388,0.33946278818419234,0.07989259937398463,0.01175,0.7115,0.27675,0.0
2024-05-09,0.24544198975800235,0.28977737202426856,0.3371569629565317,0.07987948986490373,0.01225,0.72775,0.26,0.0
2024-05-08,0.24825634259353863,0.28758527547421164,0.33702230068868677,0.07998964314133154,0.0135,0.691,0.2955,0.0
2024-05-07,0.24944895822840552,0.28983212175475315,0.3342886760843263,0.07994079466472766,0.013,0.73725,0.24975,0.0
2024-05-06,0.2518988497988822,0.28491583893058225,0.338206077926157,0.07933945591204097,0.016,0.6095,0.3745,0.0
2024-05-05,0.24948677152183205,0.2854850583763207,0.3408286017024352,0.07923665101727694,0.012,0.618,0.37,0.0
2024-05-04,0.24763701005409153,0.2918214483982942,0.33739384285383317,0.07893110713308374,0.0095,0.7475,0.243,0.0
2024-05-03,0.2483178617380906,0.2934540131452358,0.3357992281416168,0.07887570332797143,0.00875,0.7825,0.20875,0.0
2024-05-02,0.24923924776893705,0.2951857391672958,0.3339000199390376,0.0787953608421008,0.00875,0.8085,0.18275,0.0
2024-05-01,0.24757452930281246,0.3013161178590942,0.33061488080635726,0.07839318198786242,0.0065,0.88225,0.11125,0.0
2024-04-30,0.2416440860090654,0.3070738910907895,0.33127151841404323,0.078519702824682,0.00375,0.931,0.06525,0.0
2024-04-29,0.2398585072468738,0.3098405007396434,0.33069507671616305,0.07870975153695697,0.0025,0.9485,0.049,0.0
2024-04-28,0.24421978969852326,0.31170252004327914,0.32556978682974985,0.07837199235365366,0.0025,0.9565,0.041,0.0
2024-04-27,0.24105694018299617,0.31248865007971083,0.328693911748013,0.0783033559620783,0.00225,0.95975,0.038,0.0
2024-04-26,0.23707871070894385,0.3157738814090622,0.3299376540980001,0.07838811262091952,0.00225,0.9675,0.03025,0.0
2024-04-25,0.23086579458083917,0.3254847121898746,0.3276053576864649,0.07799896879882755,0.00175,0.98425,0.014,0.0
2024-04-24,0.22447387355523837,0.33080230892112217,0.32948814232340917,0.07788683190480142,0.0015,0.98825,0.01025,0.0
2024-04-23,0.22286731684850009,0.3277064239047399,0.33530285888578104,0.0775384810223252,0.0015,0.9855,0.013,0.0
2024-04-22,0.2240949418552533,0.33278813686891334,0.33021673201811913,0.07710236006688283,0.00125,0.99125,0.0075,0.0
2024-04-21,0.21387548714791382,0.3403918480990546,0.33352561281756343,0.07708258579298004,0.0005,0.9945,0.005,0.0
2024-04-20,0.21788266898705796,0.34066996388234805,0.33020806650263285,0.07684751912729741,0.0005,0.9965,0.003,0.0
2024-04-19,0.2165613359980154,0.3445038687333365,0.32881584561243504,0.07649142720424112,0.00025,0.99775,0.002,0.0
2024-04-18,0.22254731644412235,0.332932130953166,0.33542644853000175,0.07621078183581642,0.0005,0.994,0.0055,0.0
2024-04-17,0.23106687156168004,0.3251096144249761,0.33510856615592255,0.0764474946277289,0.001,0.991,0.008,0.0
2024-04-16,0.23679609895627962,0.32206242831389786,0.33381500846710777,0.07587612737164282,0.00125,0.989,0.00975,0.0
2024-04-15,0.23394674627866868,0.32319907268123466,0.3355155075289927,0.07643428379514582,0.0005,0.9915,0.008,0.0
2024-04-14,0.24128741426192546,0.3223486910296857,0.33015244784477865,0.07607466696636338,0.00075,0.993,0.00625,0.0
2024-04-13,0.23990113329594795,0.32569102122960375,0.3288412300735664,0.07610748924877474,0.0005,0.996,0.0035,0.0
2024-04-12,0.23475010458958934,0.3302817394772801,0.33031136101095815,0.07592598411372511,0.0,0.9985,0.0015,0.0
2024-04-11,0.23274201954763574,0.33610202533256023,0.32733206019085465,0.07580850344443812,0.0,0.99925,0.00075,0.0
2024-04-10,0.23511336502069255,0.3355746216358921,0.3267351683306533,0.07535021883729782,0.0,0.99925,0.00075,0.0
2024-04-09,0.23516130683849948,0.34527630942582366,0.31728292779009587,0.07567830965771341,0.0,0.99975,0.00025,0.0
2024-04-08,0.2366958802392192,0.3431472176163783,0.31923794544342626,0.07512558246807663,0.0,0.99975,0.00025,0.0
2024-04-07,0.2391851317994834,0.3427217655003018,0.3176988603377077,0.07527019260875999,0.0,1.0,0.0,0.0
2024-04-06,0.23671895326842454,0.34323811250115,0.32068009464450875,0.07499231886568036,0.0,1.0,0.0,0.0
2024-04-05,0.2536413001412442,0.3281930212104844,0.31963156437281665,0.07488568169221091,0.0,1.0,0.0,0.0
2024-04-04,0.267948312310719,0.31055961720613323,0.32286570626923644,0.07556261649017036,0.0,0.98325,0.01675,0.0
2024-04-03,0.26808885356098994,0.31160851361404496,0.32255731154999795,0.0754181602678794,0.0,0.989,0.011,0.0
